	Question	Anatomy	Cause	Complication	Diagnosis	Information	Management	Manifestation	OtherEffect	PersonOrg	Prognosis	Susceptibility	Other	NotDisease
39	How is gene therapy being used to treat conditions like retinitis pigmentosa? Does gene therapy involve transplanting healthy human eye cells in the diseased retina? How can I learn more about clinical trials and research studies investigating new treatments for retinitis pigmentosa?	0	0	0	0	0	1	0	0	0	0	0	0	0
40	How is immunodysregulation polyendocrinopathy enteropathy x-linked (IPEX) found in a woman's body?  And also how rare is this disease?	0	0	0	1	0	0	0	0	0	0	1	0	0
41	How is N-acetylglutamate synthase deficiency inherited? Are there any new research studies enrolling people with N-acetylglutamate synthase deficiency? How can I get my loved one seen at the National Institutes of Health?	0	0	0	0	0	0	0	0	1	0	1	0	0
42	How is neurofibromatosis inherited?	0	0	0	0	0	0	0	0	0	0	1	0	0
43	How is optic neuritis diagnosed?	0	0	0	1	0	0	0	0	0	0	0	0	0
44	How is orotic aciduria type I diagnosed?  How is it treated?	0	0	0	1	0	1	0	0	0	0	0	0	0
45	How is pseudotumor cerebri treated? What is the prognosis for patients with this condition?	0	0	0	0	0	1	0	0	0	1	0	0	0
46	How is Rotor syndrome diagnosed?	0	0	0	1	0	0	0	0	0	0	0	0	0
47	How is the diagnosis of Shwachman-Diamond syndrome confirmed?	0	0	0	1	0	0	0	0	0	0	0	0	0
48	How is trigeminal neuralgia treated? What is the long-term outlook for individuals with this condition?	0	0	0	0	0	1	0	0	0	1	0	0	0
49	How is yellow nail syndrome treated? Can it be treated or not?	0	0	0	0	0	1	0	0	0	0	0	0	0
50	How many cases of polyembryoma have been reported worldwide?  What is the prognosis for polyembryoma?  How might this condition be treated?  What causes polyembryoma?	0	1	0	0	0	1	0	0	0	1	1	0	0
51	How many cases of schizencephaly have been reported in Florida, and worldwide? Will my child always have develomental delay, and will this get worse with every seizure? What is the prognosis for this condition?	0	0	0	0	0	0	0	0	0	1	1	0	0
52	How many individuals in the United States have been diagnosed with hereditary mucoepithelial dysplasia (HMD)? Is there any research on HMD in progress? Are there any HMD support groups?	0	0	0	0	1	0	0	0	1	0	1	0	0
53	How many people are affected by Alexander disease?	0	0	0	0	0	0	0	0	0	0	1	0	0
54	How many people are affected by dysfibrinogenemia?	0	0	0	0	0	0	0	0	0	0	1	0	0
55	How many people are diagnosed with myostatin-related muscle hypertrophy?	0	0	0	0	0	0	0	0	0	0	1	0	0
56	How many people have acute promyelocytic leukemia?	0	0	0	0	0	0	0	0	0	0	1	0	0
57	How many people have been diagnosed with Christianson syndrome?	0	0	0	0	0	0	0	0	0	0	1	0	0
58	How many people in the world have potassium aggravated myotonia?	0	0	0	0	0	0	0	0	0	0	1	0	0
59	How many types of pachyonychia congenita are there? How are they caused? Is the condition more likely to occur in certain groups of people? How many individuals have this condition and what is the mortality rate?	0	1	0	0	1	0	0	0	0	1	1	0	0
60	How might ataxia telangiectasia affect a person's ability to move and speak?	0	0	0	0	0	0	0	0	0	1	0	0	0
61	How might Brown-Sequard syndrome be treated?	0	0	0	0	0	1	0	0	0	0	0	0	0
62	How might Brown syndrome be treated?	0	0	0	0	0	1	0	0	0	0	0	0	0
63	How might Crohn's disease be treated?	0	0	0	0	0	1	0	0	0	0	0	0	0
64	How might Eagle syndrome be treated?	0	0	0	0	0	1	0	0	0	0	0	0	0
65	How might Maffucci syndrome be treated?	0	0	0	0	0	1	0	0	0	0	0	0	0
66	How might multicentric Castleman's disease be treated?	0	0	0	0	0	1	0	0	0	0	0	0	0
67	How might neuronal intranuclear inclusion disease affect a person over time?	0	0	0	0	0	0	0	0	0	1	0	0	0
68	How might pain caused by transverse myelitis be treated?	0	0	0	0	0	1	0	0	0	0	0	0	0
69	How might scleroderma be treated?	0	0	0	0	0	1	0	0	0	0	0	0	0
70	How might tyrosinemia type 2 be treated?	0	0	0	0	0	1	0	0	0	0	0	0	0
71	How quickly do desmoid tumors typically progress?  Is five months a significant period of time with regard to the growth of such a tumor?	0	0	0	0	0	0	0	0	0	1	0	0	0
72	How rare is adult-onset vitelliform macular dystrophy?	0	0	0	0	0	0	0	0	0	0	1	0	0
73	How rare is autoimmune polyglandular syndrome type 1?	0	0	0	0	0	0	0	0	0	0	1	0	0
74	How rare is Bannayan-Riley-Ruvalcaba syndrome?  Can affected individuals die from this condition?	0	0	0	0	0	0	0	0	0	1	1	0	0
75	How rare is Barakat syndrome?	0	0	0	0	0	0	0	0	0	0	1	0	0
76	How rare is Eagle syndrome?  Is surgery the best treatment? What kind of doctor would perform this surgery?	0	0	0	0	0	1	0	0	1	0	1	0	0
77	How rare is hypopituitarism?	0	0	0	0	0	0	0	0	0	0	1	0	0
78	How rare is multiple endocrine neoplasia type 2A? How is this condition inherited?	0	0	0	0	0	0	0	0	0	0	1	0	0
79	How rare is Pelizaeus-Merzbacher disease?	0	0	0	0	0	0	0	0	0	0	1	0	0
80	How rare is retinochoroidal coloboma? What percentage of people with ocular coloboma have retinochoroidal?	0	0	0	0	0	0	0	0	0	0	1	0	0
81	How rare is this disease? How many Americans are diagnosed with it?	0	0	0	0	0	0	0	0	0	0	1	0	0
82	How should patients with Birt Hogg Dube syndrome be monitored (i.e. for kidney tumors)?	0	0	0	0	0	1	0	0	0	0	0	0	0
83	How soon after birth can this be diagnosed? When is it known how severely an individual is affected? Is it possible to live a normal life?	0	0	0	1	0	0	0	0	0	1	0	0	0
84	How was hepatic encephalopathy discovered, and who first described it? Is there a chance of passing this condition along to my children?	0	0	0	0	0	0	0	0	0	0	1	1	0
85	Hypolipoproteinemia runs in my family. I can't find much information on this topic. I'd like to know if the symptoms I am experiencing are due to this condition. Who can I talk to?	0	0	0	0	0	0	1	0	1	0	0	0	0
86	I am 23 years old. For 3 years I have been suffering from this critical problem. Please suggest how I might get rid of it so I can enjoy my life.	0	0	0	0	0	1	0	0	0	0	0	0	0
87	I am 26 years old and I have wandering spleen. I would like to know what is the best treatment option for my problem. Can I have a healthy pregnancy with my condition? What are the consequences of spleen removal surgery?	0	0	0	0	0	1	0	1	0	0	0	0	1
88	I am 31 years old and my husband and I are considering starting a family. I was born with a bifid nose which was repaired as a child. I am wondering if you can explain the role of genetics and the bifid nose.	0	0	0	0	0	0	0	0	0	0	1	0	0
89	I am 4 feet, 11 inches tall with many medical complications since childhood. How can I find out if I have dwarfism or any other condition?	0	0	0	1	0	0	0	0	0	0	0	0	0
90	I am 52 years old.  I have had this illness for almost ten years. I had anterior neck surgery in 2008 and posterior neck surgery in 2009, with four titanium screws. May I ask you to help me or to guide me so I can treat this illness?  Because of this illness I lost everything. I am now totally disabled.	0	0	0	0	0	1	0	0	0	0	0	0	0
91	I am 58-years-old, and in the last year I have lost my fingerprints. When researching why this may have happened, I came across Naegeli syndrome and discovered that there were more symptoms that matched mine.Could you tell me how this condition is diagnosed? Is there a way to cure or halt the symptoms of the syndrome?	0	0	0	1	0	1	0	0	0	0	0	0	0
92	I am 6 months pregnant and was told that my baby has colpocephaly. I would like to learn more about this condition and what the prognosis is for a baby born with it.	0	0	0	0	1	0	0	0	0	1	0	0	0
93	I am a 46 year old female who was born with Polands Syndrome. I was missing the upper ribs and the chest wall on my right side. As a result I am now facing multiple spinal problems and am looking for the correct treatment by the correct specialists. How do I go about finding spine specialists who have worked with this condition?	0	0	0	0	0	0	0	0	1	0	0	0	0
94	I am a black female and was recently diagnosed with pityriasis rotunda after a skin biopsy. There is not much information about this condition. The little information I found on the Internet is somewhat disturbing. I'm looking for more information and what should be the next step to follow.	0	0	0	0	1	0	0	0	0	0	0	0	0
95	I am a carrier for recombinant chromosome 8 syndrome. Should my children have a blood test to see if they are also carriers?	0	0	0	1	0	0	0	0	0	0	0	0	0
96	I am a carrier of Duchenne muscular dystrophy. I am experiencing some symptoms which I believe go beyond the realm of aging. Upon reflection, other women in my family also experienced symptoms, including loss of feeling in the legs and heart failure. Can carrier females of Duchenne muscular dystrophy exhibit symptoms?	0	0	0	0	0	0	1	0	0	0	0	0	0
97	I am a dermatologist and I have a patient requesting patient-friendly information on this condition. Can you provide this and direct me to some appropriate resources?	0	0	0	0	1	0	0	0	0	0	0	0	0
98	I am affected by familial autosomal dominant periodic fever, as are two of my three children. Can you provide us with information about this condition?	0	0	0	0	1	0	0	0	0	0	0	0	0
99	I am a genetic counselor.  We recently made a diagnosis of Sjogren-Larsson in a young child, and I am on the search for patient information for her family.  I have found very little information so far (besides medical journal articles).  Would you be able to point me to any other source of information (besides FIRST) where I can find information to pass along to this family?  The family will be coming back early next week to discuss the diagnosis.	0	0	0	0	1	0	0	0	0	0	0	0	0
100	I am a healthcare provider for a 4-year-old girl with cytochrome C oxidase deficiency. How does this condition manifest? What is the life expectancy for a child with this diagnosis? She continues to gain new skills, but will she at some point show a regression in skills? She is diagnosed as having cortical visual impairment, though she continues to rely on her vision to gain information about her environment. Will she eventually go completely blind?	0	0	0	0	0	0	1	0	0	1	0	0	0
101	I am a layperson and many articles I have seen are geared toward those with medical backgrounds.  Has it been determined that pentalogy of Cantrell is genetic?  Is it X-linked?  Does this mean that male children are at risk?  And how does this impact future siblings?	0	0	0	0	1	0	0	0	0	0	1	0	0
102	I am an adult woman who has been recently diagnosed with Ménétrier disease.  My symptoms seem to be worsening.  I am seeking information about the symptoms, cause(s), prognosis, genetic association, and treatment.  I am eager to hear from you and appreciate your assistance.	0	1	0	0	0	1	1	0	0	1	1	0	0
103	I am a nurse, and I have a patient that presents with some of the classic signs of Rett syndrome. I want to locate a specialist in Rett syndrome genetics. Could your agency send me a list of practicing physicians and clinics with expertise in this area?	0	0	0	0	0	0	0	0	1	0	0	0	0
104	I am a personal trainer working with a client who has HD.  While I have seen progress with the exercises we are doing, I am looking for more information regarding the types of exercises that are found to be most effective or certain exercises that should be avoided.	0	0	0	0	0	1	0	0	0	0	0	0	0
105	I am a physician who frequently sees patients with Becker muscular dystrophy. Can you provide me with patient-friendly information about this condition?	0	0	0	0	1	0	0	0	0	0	0	0	0
106	I am a school nurse and have a new student attending our school with this diagnosis. I would like to learn more about the disease and what we can do to make this student as comfortable as possible.	0	0	0	0	1	1	0	0	0	0	0	0	0
107	I am a special education teacher. My new student is 5-years-old and is very impacted by this condition. Is his intelligence presumed to be typical? Also are his fungal infections contagious to other students and staff?	0	0	0	0	0	0	0	1	0	0	1	0	0
108	I am a special educator working with an 18-year-old female who was recently diagnosed with Juvenile Huntington disease. We are attempting to develop an education and health safety plan and would appreciate any information you could provide.	0	0	0	0	0	1	0	0	0	0	0	0	0
109	I am a speech language pathologist with a child affected by Marshall-Smith syndrome on my caseload. Do the symptoms of this syndrome vary widely between patients? Is there any information regarding speech / language prognosis for these children?	0	0	0	0	0	0	1	0	0	1	0	0	0
110	I am associated with a hospital in India as a trainee. Recently, we came across a case of Hereditary spastic paraplegia in a patient. We are unaware of the proper genetic testing to be carried out.  Is a sample for genetic testing are required?	0	0	0	1	0	0	0	0	0	0	0	0	0
111	I am a teacher and I have a student with FEVR. I would like to know if there are any strategies for me to implement to help him. He has undergone laser surgery and wears glasses. He is a second grader and I would like him to meet with success.	0	0	0	0	0	1	0	0	0	0	0	0	0
112	I am a therapist in need of additional information regarding Sotos syndrome.  Are there any support groups with local state chapters?  I have a client that has been diagnosed with Sotos syndrome and I would like to refer the parents to a support group.	0	0	0	0	0	0	0	0	1	0	0	0	0
113	I am curious if this condition can or will effect hearing. Not necessarily hearing loss, but muffled sounds, feeling pressure, etc.	0	0	0	0	0	0	0	1	0	0	0	0	0
114	I am curious to know if there is a genetic link to Sheehan syndrome. My maternal grandmother hemorrhaged after her 5th child and ended up losing all of the hair on her body, less the hair on her head. My maternal aunt also hemorrhaged after her 4th child and she too lost all body hair less the hair on her head. Neither were diagnosed with Sheehan syndrome at that time.	0	0	0	0	0	0	0	0	0	0	1	0	0
115	I am going to be tutoring 2 brothers who have this condition. Information is relatively difficult to find. Is there any information you can email me in regards to symptoms/characteristics that relate to the education of these children? I am just looking for an overview that could help me in providing the best possible strategies for success.	0	0	0	0	0	1	1	1	0	0	0	0	0
116	I am heterozygous for a factor V Leiden mutation. I was on oral contraceptives for 10 years before trying to get pregnant. After two miscarriages, I was tested and I found out that I had this condition. I saw where you discuss oral contraceptives; but I didn't know if an IUD such as Mirena may be safer to use than an oral contraceptives?	0	0	0	0	0	0	0	0	0	0	0	0	1
117	I am inquiring about information in regards to BOOP. My husband was recently diagnosed with this rare disease. I am very concerned because I do not understand what is happening to his body. We are dumbfounded on why and how he contracted this disease. Please forward me any info you have to share.	0	0	0	0	1	0	0	0	0	0	1	0	0
118	I am interested in a good treatment for the condition. I was told that antibiotics are not necessarily good for this.	0	0	0	0	0	1	0	0	0	0	0	0	0
119	I am interested in finding out information related to dihydropyrimidine dehydrogenase (DPD) in children - I am not interested in the form that presents after exposure to the cancer drug 5-fluorouracil. My son is about to turn 5 years old and was diagnosed with DPD at 4 months. Are there any specific articles that speak about infants and children that suffer from the deficiency?	0	0	0	0	1	0	0	0	0	0	0	0	0
120	I am interested in learning about Tay syndrome.  Can you help? I wish to know: What it is? When was it first described? What are the main symptoms? What are the treatments? What is the average life expectancy for sufferers?	0	0	0	0	1	1	1	0	0	1	0	1	0
121	I am interested in learning more about Sheehan syndrome. What information can you provide?	0	0	0	0	1	0	0	0	0	0	0	0	0
122	I am interested in reading the most up-to-date research on the use of bisphosphonate therapy in treating adult PFD. What I have found in my search so far is that while it does seem to treat pain associated with PFD, it doesn't actually stop the progression of the condition.  Also, I understand that long-term (over 3 years) use of bisphosphonates actually makes bones subject to fracture.  So I was just looking for some answers.	0	0	0	0	0	1	0	0	0	0	0	0	0
123	I am living in Israel, and my father has the rare disease familial amyloid polyneuropathy. What are the treatment options for this disease? Have people been successfully treated?	0	0	0	0	0	1	0	0	0	0	0	0	0
124	I am looking for any info about heavy metal toxicity, symptoms, treatment, outcomes.  Especially combined toxicity (e.g., nickle and mercury).  Also looking for diagnostic tools available for heavy metal in humans.	0	0	0	1	1	1	1	0	0	1	0	0	0
125	I am looking for any information on Prinzmetal's variant angina, including clinical studies. The medicine they have me on just isn't working for me. What treatment options are available?	0	0	0	0	1	1	0	0	0	0	0	0	0
126	I am looking for any information on treatments and causes for burning mouth syndrome.	0	1	0	0	0	1	0	0	0	0	0	0	0
127	I am looking for information about pseudocholinesterase deficiency in layman's terms for myself and others. Can you tell me more about this condition?	0	0	0	0	1	0	0	0	0	0	0	0	0
128	I am looking for information about this disease and also what types of treatments are available.	0	0	0	0	1	1	0	0	0	0	0	0	0
129	I am looking for information about Von-Hippel Lindau syndrome, including how it might be treated.	0	0	0	0	1	1	0	0	0	0	0	0	0
130	I am looking for more general information on granulomatous slack skin syndrome. How many total cases of this condition have been reported?	0	0	0	0	1	0	0	0	0	0	1	0	0
131	I am looking for more information on wrinkly skin syndrome; its symptoms, body changes, treatment, what to expect, effects on different ages, and cases.	0	0	0	0	1	1	1	1	0	1	0	0	0
132	I am looking for recent information on ovarian carcinosarcoma and the chemotherapy regime that is most effective for treating this.	0	0	0	0	1	1	0	0	0	0	0	0	0
133	I am looking for treatment information for PKAN.   My brother was diagnosed with it a little over a year ago. It started about age 3 with all the classic signs. He now is in very bad shape. I am looking for any help. He may start a clinical trial of deferiprone treatment if approved by the FDA.	0	0	0	0	0	1	0	0	0	0	0	1	0
134	I am receiving genetic testing for spinocerebellar ataxia type 8 in approximately a week. How do I know if I inherited it from my mom or dad? Both are deceased and there is no family history of the disease. I am 62 yrs. old and first noticed symptoms approximately 4 years ago.	0	0	0	0	0	0	0	0	0	0	1	0	0
135	I am researcher and I'm looking for more information about Gorham Stout disease.	0	0	0	0	1	0	0	0	0	0	0	0	0
136	I am researching the link between Greig cephalopolysyndactyly syndrome, hydrocephalus, and seizures. I am curious about the reason for the hydrocephalus: is it a blockage issue or a slow draining issue?	0	0	0	0	0	0	0	1	0	0	0	0	0
137	I am severely affected with Klippel Feil syndrome and my symptoms are worsening with time. Are there any research studies that I could participate in? I am also concerned about the risk to my future offspring. How can I learn more about this risk?	0	0	0	0	1	0	0	0	1	0	1	0	0
138	I am suffering from Kikuchi disease. What kind of treatment should I undergo and is taking painkillers the right treatment?	0	0	0	0	0	1	0	0	0	0	0	0	0
139	I am the oldest person alive with Omenn Syndrome.  I don't know much about it except what my grandmother has told me.  She told me that it is an immune deficiency.  Can you tell me more about it?	0	0	0	0	1	0	0	0	0	0	0	0	0
140	I am the parent of a 10-year-old boy with Duchenne muscular dystrophy (DMD). We are seeking information on his specific mutation, he is missing 2 nucleotides on exon 44 causing a frameshift onto exon 45 resulting in mild DMD or severe Becker symptoms. We can't locate any other person with that specific mutation. We have used the Leiden Data Base and Duchenne Connect, and we have asked an expert at the University of Utah. We are trying to determine the potential course this disease will take. Can you offer any suggestions as to how we can find out if another person has the same mutation?	0	0	0	0	1	0	0	0	1	1	0	0	0
141	I am the parent of a child with GSD type III. I would love to receive any information about the disease, treatments being done, research studies, etc. Thank you for your time.	0	0	0	0	1	1	0	0	0	0	0	0	0
142	I am trying to find a doctor in my area that knows something about pain management for my disease.	0	0	0	0	0	0	0	0	1	0	0	0	0
143	I am trying to find information about transmission of hepatitis X.  Is it found in Europe or just the USA?	0	0	0	0	0	0	0	0	0	0	1	0	0
144	I am trying to find more information about osteomyelitis. Can you provide me with the information that I need?	0	0	0	0	1	0	0	0	0	0	0	0	0
145	I am trying to find out more information about how to treat my condition.	0	0	0	0	0	1	0	0	0	0	0	0	0
146	I am trying to find out more information about teratomas with malignant transformation, specifically related to prognosis.  I had a single mass removed with clean margins and no infiltration.  Any studies that have been done about treatment options would be helpful.  Also, are there any other published cases of teratoma and astrocytoma?  I guess I am trying to find out if my type of teratoma would portend a better or worse prognosis than other types, especially given how fast mine developed.	0	0	0	0	1	1	0	0	0	1	0	0	0
147	I am trying to find out more information on anaplastic oligoastrocytoma.	0	0	0	0	1	0	0	0	0	0	0	0	0
148	I am trying to find studies discussing the potential of genetic inheritance of desmoplastic small round cell tumor.  My friend's brother is now suffering from desmoplastic small round cell tumor and she is concerned about her risks to develop this condition.	0	0	0	0	0	0	0	0	0	0	1	0	0
149	I am trying to research current information for my friend who has been diagnosed with Triple A syndrome. She is looking for understandable information about the disease and possible treatment options. Is there recent information about what might help to treat neuropathy? How can we reach out to other people affected by the condition? How can we find out about current research that is being done to find better treatment alternatives?	0	0	0	0	1	1	0	0	1	0	0	0	0
150	I am wondering about Townes-Brock syndrome because I was born with this condition and I don't know anything about it. Can you provide me with all the information that you have on Townes-Brock syndrome?	0	0	0	0	1	0	0	0	0	0	0	0	0
151	I am writing an English research paper on Tourette syndrome. Can Tourette syndrome be cured? What are the treatment options? Please provide any available information.	0	0	0	0	1	1	0	0	0	0	0	0	0
152	I am writing to ask for some information on hyperprolinemia type 2. Do individuals with this condition have a shortened lifespan? Is there any treatment for people who have severe symptoms? Are there any clinical trials studying the use of vitamin B6?	0	0	0	0	1	1	0	0	0	1	0	0	0
153	I believe I have hereditary neuralgic amyotrophy. Can this condition affect the legs? I am having an attack in my right leg which seems to be very similar to what I have had in my shoulders and arms for 20 years.	1	0	0	0	0	0	0	0	0	0	0	0	0
154	I believe I may have occipital horn syndrome.  How can I be tested for this? Is it important, for personal or research purposes, that I get tested?	0	0	0	1	0	0	0	0	0	0	0	0	0
155	I believe my daughter may have cerebrotendinous xanthomatosis. Can you provide me with more information on this condition?	0	0	0	0	1	0	0	0	0	0	0	0	0
156	I believe that I may have Aase syndrome. Can you provide me with information about this condition?	0	0	0	0	1	0	0	0	0	0	0	0	0
157	I believe that I may have geographic tongue.  Is there treatment for the condition?  At what age do symptoms of the condition typically start?  I have a family history of psoriasis.  Is geographic tongue related to psoriasis?  Are the two conditions genetic?  Is genetic counseling appropriate for geographic tongue and psoriasis?	0	0	0	1	0	1	1	1	0	0	1	0	0
158	I can not find any help in regards to this disease.  Since I was diagnosed with this I have been left to deal with it myself and its getting to the point of no return.  So any help in getting me pointed in the right direction would be helpful.	0	0	0	0	0	1	0	0	0	0	0	0	0
159	I carry a mutation in the SOX9 gene but I do not have any signs or symptoms of campomelic dysplasia. I have had several pregnancies; one resulted in a child with the condition who later passed away, two resulted in pregnancy termination because the fetuses were found to have the condition, and 2 resulted in miscarriages. I was told that the risk for each of my pregnancies to be affected with this condition was 50%. If this is the case, why does it seem like all of my pregnancies have been affected?	0	0	0	0	0	0	0	1	0	0	0	0	0
160	I developed a nonseminomatous germ cell tumor in my 20's. I've since been deemed cured, but wonder if my children are at an increased risk for developing this cancer.	0	0	0	0	0	0	0	0	0	0	1	0	0
161	I developed patulous eustacian tube following gastric bypass surgery. Are there treatments for this condition?	0	0	0	0	0	1	0	0	0	0	0	0	0
162	I'd like to know all about Ehlers-Danlos syndrome progeroid type.	0	0	0	0	1	0	0	0	0	0	0	0	0
163	I'd like to know as much as possible about Leigh syndrome. Could you also tell me what type of testing is available for the condition? I am particularly interested in learning more about genetic testing for the syndrome.	0	0	0	1	1	0	0	0	0	0	0	0	0
164	I'd like to learn more about megalocytic interstitial nephritis with malakoplakia.	0	0	0	0	1	0	0	0	0	0	0	0	0
165	I experienced a headache followed by left sided numbness. I believe my doctor said I had hemiplegic migraine. During these episodes the left side of my body will feel like tiny pinpricks and go completely numb. When it gets really bad it spreads over to my right side and i cannot operate my car. When this happens I do not always get headaches. Is there any information you can give me?	0	0	0	0	1	0	0	0	0	0	0	0	0
166	If a child is the only one affected with perisylvian syndrome in his family, can the inheritance of the syndrome be determined? Would perisylvian syndrome in a male child come from the mother or the father, or both? Is genetic testing for this syndrome available?	0	0	0	1	0	0	0	0	0	0	1	0	0
167	If a couple has a child with Krabbe leukodystrophy, what is the likelihood of having another child with the condition?	0	0	0	0	0	0	0	0	0	0	1	0	0
168	If a couple's first baby is diagnosed with Leigh syndrome, what is the chance that future children will have it as well? Is this condition inherited from the mother or father?	0	0	0	0	0	0	0	0	0	0	1	0	0
169	If a first child is affected by Duane syndrome, what is the likelihood that subsequent children will also be affected? Should genetic counseling be done prior to attempting a second pregnancy?	0	0	0	1	0	0	0	0	0	0	1	0	0
