	id	qid1	qid2	question1	question2	is_duplicate
78	426	426	426	46-year-old man.  What is the dose of Prevacid and how do you spell it?	What is the dose of Prevacid and how do you spell it?	1
79	1344	1344	1344	"Woman said, ""By the way, I've been having these funny pains in my chest.""  History of motor vehicle accident, transection of thoracic aorta repaired, has not talked to the surgeons in 10 years.  Do I need to follow up and what schedule to follow?"	Woman with funny pains in her chest. Do I need to follow up?	1
80	6158	6158	6158	86-year-old woman on Coumadin.  What's the dose of Lovenox?  	What is the dose of Lovenox?	1
81	7560	7560	7560	"My last patient this morning is an 11-year-old boy.  ""Why would he be mildly anemic and have schistocytes?""  ""I'm not sure what causes schistocytes."""	What would cause schistocytes in an 11-year-old?	1
82	2872	2872	2872	Should you use the first blood pressure or the second trimester nadir to compare later blood pressure elevations in pregnancy?	What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)	0
83	6119	6119	6119	"""If their high-density-lipoprotein cholesterol is 70 and the low-density-lipoprotein cholesterol is 160, who wins the battle?"""	Maneuver mentioned at continuing medical education course for vertigo, couldn't remember how to do it or name of it.	0
84	2952	2952	2952	What do flattened T waves in all precordial leads mean in a 54-year-old woman with hypertension and potassium of 3.3 milliequivalents/liter?	What is the dose of Sporanox?	0
85	8173	8173	8173	What does depression look like?	At what ages should you do a Denver Developmental Screening Test?	0
86	3361	3361	3361	What evaluation should diabetics have at every clinic visit or other periodic evaluation?	Obstetric patient, 39 weeks had a little sore, ? herpes.  How long after she heals is it safe to do a vaginal delivery?	0
87	6135	6135	6135	"Phone call with otolaryngologist:  ""If you have a negative Dix-Hallpike maneuver, but you still think it's benign positional vertigo, will vestibular rehabilitation still help?"""	If you have a negative Dix-Hallpike maneuver, will vestibular rehabilitation help?	1
88	1081	1081	1081	I saw an obese diabetic female yesterday who said she couldn't sleep while taking Glucotrol XL.  She told me she wanted to go back on insulin in any case (moot point), but I wondered if Glucotrol is associated with insomnia.	Is Glucotrol associated with insomnia?	1
89	3427	3427	3427	What are the indications for trying to diagnose and/or treat Helicobacter pylori in patients with peptic disease and nonulcer dyspepsia?  What are the indications for testing for Helicobacter pylori, especially by serology?	Nonfasting blood sugar approximately 377, fasting approximately 45. Is there a better name for glucose intolerance?	0
90	1818	1818	1818	At what age do other doctors stop doing various screening tests?  I had an 80-year-old man yesterday who wanted a prostate specific antigen and I couldn't convince him that he didn't need one.  Also screening for high cholesterol and is there an age that you don't need to treat it anymore?  Same with Pap smears.	Patient with diarrhea.  What is Endolimax nana (on stool sample) and should you treat it?	0
91	8384	8384	8384	Can burning incense bring lead into the environment of the home?	How should I treat polymenorrhea in a 14-year-old girl?	0
92	4126	4126	4126	What was the reference to that article on not needing to do a chest x-ray on all patients after thoracentesis?	What was that article on not needing to do a chest x-ray on all patients after thoracentesis?	1
93	5444	5444	5444	What would cause red raised nodular lesions on the legs of a patient with ichthyosis?	What would cause red raised nodular lesions on the legs of a patient with ichthyosis?	1
94	8039	8039	8039	What is the dosage of ursodiol?	What is the dosage of ursodiol?	1
95	6554	6554	6554	"6-month-old term delivery, developing normally except question of hypertonicity of lower extremities with some scissoring, which is now more definite.  ""Should I do any workup and if so should it be a magnetic resonance imaging or a computerized tomography or what?"""	How should you work up a 6-month-old with hypertonicity?	1
96	6415	6415	6415	"""Dr. X (study physician's partner) have you ever treated Mycobacterium gordonae?""  ""How do I treat this guy?  Where do I go with this guy?"""	What are the indications for getting a digoxin level?	0
97	2023	2023	2023	"I wanted to prescribe Lotrimin 1%.  The pharmacist said ""Do you mean 2%,"" implying that's the only strength it came in.  I thought it came in 1% but I had to look it up to be sure."	Wanted to prescribe Lotrimin 1%. I had to look it up to see if it came in that strength.	1
98	6796	6796	6796	"8-year-old girl with elevated lead level (approximately 40).  I (investigator) said, ""So the question is treatment""?  He said, ""No, just etiology.  I mean, is it supposed to be from iron deficiency or . . . ?"	What would cause an 8-year-old girl to eat dirt?	1
99	1190	1190	1190	An adult diabetic with a fever for 4 days.  I don't know what's causing the fever.  I don't know if it's just viral or what.	Diabetic, fever for 4 days. Don't know what's causing the fever.	1
100	2269	2269	2269	What antibiotic should you use in someone with a COPD (chronic obstructive pulmonary disease) exacerbation who requires admission?	What antibiotic should you use in a chronic obstructive pulmonary disease exacerbation?	1
101	4699	4699	4699	What is transient neonatal pustular melanosis?  What does it look like?  What do you do about it?  (newborn skin lesions, vesicles, pustules)	Is there a better way to introduce the subject of sexually transmitted disease?	0
102	7456	7456	7456	"""Overweight woman having more hot flashes.  All the specifics about that.  For example, does it take longer to get over them if you are overweight?  How long does it take to get over them when you stop hormones?"""	Do obese women take longer to get over hot flashes?	1
103	6863	6863	6863	This patient was hospitalized and found to have rectal carcinoid.  The question was treatment and how often do they metastasize.	Probably a normal 18 month old but how many respiratory infections are normal?	0
104	2381	2381	2381	Has the use of prophylactic heparin been studied to prevent pulmonary embolus in patients with congestive heart failure?	Maneuver mentioned at continuing medical education course for vertigo, couldn't remember how to do it or name of it.	0
105	8551	8551	8551	What is the dose of propranolol?	What is the dose of propranolol?	1
106	6276	6276	6276	"There is a company doing very well here that sells screening ultrasound for carotid artery stenosis, abdominal aortic aneurysm, and ankle-brachial reflexes, all three for one hundred dollars, or you can get just one for thirty-five dollars.  I've sent a few people.  My partners say, ""What are you doing that for?""  They have no symptoms.  But sometimes they find things even without symptoms.  So I don't know . . . ."	Should we be screening for carotid artery stenosis?	1
107	2946	2946	2946	What were the three antihistamines mentioned in the newspaper that might cause cancer?	What were the three antihistamines mentioned in the newspaper that might cause cancer?	1
108	3901	3901	3901	Who with polymyalgia rheumatica needs a temporal artery biopsy?	Who with polymyalgia rheumatica needs a temporal artery biopsy?	1
109	759	759	759	For post viral cough, Dr. X usually prescribes a short term bronchodilator such as Proventil inhaler.  Are there data to support this treatment?	Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?	0
110	941	941	941	Do these face films show a fracture?	Do these face films show a fracture?	1
111	1266	1266	1266	Mother of this patient has tennis elbow (lateral epicondylitis).  Which muscles insert into the lateral epicondyle?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	0
112	7769	7769	7769	At what age do children need further tests after the urinary tract infection has been treated?	At what ages should you do a Denver Developmental Screening Test?	0
113	7383	7383	7383	Is the coccyx fractured?  This was the question as the physician was looking at the x-ray of a young girl (about 7 years old).	Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?	0
114	6297	6297	6297	This woman was seen yesterday in the emergency room.  She had numbness in her left hand and foot.  Her CT scan showed a lacunar infarct, age indeterminate, at the genu of the internal capsule.  I guess my question is, if it is a new stroke clinically, do I admit her at this point?	What antibiotic should I use for this diabetic patient's infected foot ulcer?	0
115	8552	8552	8552	What is the dose of propranolol?	How should I treat polymenorrhea in a 14-year-old girl?	0
116	4424	4424	4424	Does it make any difference if you give Lipitor (atorvastatin) or other similar lipid lowering drugs with the evening meal or can you give anytime during the day?	Can you use Prozac along with lithium?	0
117	1597	1597	1597	I'm uncertain about what to do with her knee problems.  Has osteoarthritis, difficulty walking, x-rays don't look too bad.	Why did she get Coccidiomycosis?	0
118	3815	3815	3815	What is the sensitivity of the prostate specific antigen?	What is the sensitivity of the prostate specific antigen?	1
119	1696	1696	1696	Patient at 38 weeks gestation, Gravida 1Para 0, blood pressure 140/80 (baseline 70), 2+ protein, swollen ankles, 9 pound weight gain in 1 week, unfavorable cervix.  I think she has preeclampsia.  Should I wait 24 hours?  Is it really preeclampsia?  How should I proceed?  Should I induce or go straight to cesarean section due to unfavorable cervix.  How much protein in urine are you looking for as a marker?  Didn't know whether to hold off on magnesium sulfate since it might decrease success rate of induction.  Is it safe to hold magnesium once you make the diagnosis.  How dependable is uric acid?	I think she has preeclampsia. Is it really preeclampsia? How should I proceed?	1
120	8175	8175	8175	How do I treat depression?	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	0
121	4865	4865	4865	What are antithyroid microsomal antibodies and when should you order them and how do you interpret the results?	What are antithyroid microsomal antibodies and when should you order them?	1
122	29	29	29	What are the indications for getting a digoxin level?	What are the indications for getting a digoxin level?	1
123	537	537	537	This was discussed with patient today but relates to question from a few months ago.  Patient had been on regular prednisone (not a burst) and he wondered how to wean her off the prednisone.  She is now on inhaled steroids and doing well.	Boys' father has Marfan's Syndrome. Do these boys need further evaluation?	0
124	7100	7100	7100	"44 year-old woman.  She has four siblings with adenomatous polyps.  She was screened with a colonoscopy 3 years ago and does not have any.  ""When does she need her next colonoscopy?"""	How often should a patient have colonoscopy if four siblings have polyps?	1
125	5923	5923	5923	This is a 2-month-old in for well-child check but when she was a newborn she had blood in her stools.  I called the pediatric GI person at the university.	19-year-old male, big lymph nodes, rash, 13% eosinophils. What is the cause of the eosinophilia?	0
126	7920	7920	7920	What is the frequency for Bactroban (topical antibiotic)?	What is the frequency for Bactroban?	1
127	1063	1063	1063	Which test (culdocentesis or pelvic ultrasound) would be best for diagnosis of ovarian cyst in this case?	At what ages should you do a Denver Developmental Screening Test?	0
128	2563	2563	2563	How do you diagnose sinusitis clinically?	After starting treatment for streptococcal sore throat, how long to stay out of work or school?	0
129	7291	7291	7291	"A family physician called the study physician to ask about a 4-day-old with jaundice and a bilirubin of 20.  ""I was going to go over the guidelines.  I think they say to transfuse if over 20 but I'm more conservative than that."""	What are the guidelines for hyperbilirubinemia in the newborn?	1
130	7952	7952	7952	Can insurance companies pay for this pneumococcal vaccine?	Can insurance companies pay for pneumococcal vaccine?	1
131	1929	1929	1929	What dose of Famvir to treat a primary (not recurrent) herpes genital infection?	Let's give these immunizations.  That's right isn't it?	0
132	5342	5342	5342	What would cause vaginal dryness besides menopause?	What would cause vaginal dryness besides menopause?	1
133	7186	7186	7186	"Fourteen-month-old girl.  We thought the girl had Fifth Disease.  ""Do you get hives with Fifth Disease?"" was my question."	Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?	0
134	1848	1848	1848	Should I use Serevent in association with her heart medications which include a beta blocker.  Will her heart medications need to be adjusted?  Dr. X aware of known concerns about Serevent in these patients.	How should I treat polymenorrhea in a 14-year-old girl?	0
135	6429	6429	6429	10-year-old girl has prominent painful distal ulnas.  We thought these were cysts (my partner and I).	What is a good steroid eye drop?	0
136	1753	1753	1753	What is causing her to be nauseated?  (Persistent nausea and some diarrhea.)  Could her anesthesia have caused this? (Had total knee replacement 4 to 6 weeks ago).	What is causing her to be nauseated? Persistent nausea and some diarrhea.	1
137	8285	8285	8285	Should we continue chemotherapy on this patient?	Should we continue chemotherapy?	1
138	728	728	728	The infant's eyes are red but is it viral or bacterial and how important is it to know as it will probably run its course?	Infant's eyes red but viral or bacterial and how important is it to know?	1
139	2865	2865	2865	What antihypertensives do not cause impotence?	How can I keep up with all this paperwork?	0
140	7872	7872	7872	Is it okay to breast feed while taking atenolol and propranolol?	How should I treat polymenorrhea in a 14-year-old girl?	0
141	8288	8288	8288	For diabetes insipidus, when do we use DDAVP (desmopressin) in regard to sodium levels?	How should I treat polymenorrhea in a 14-year-old girl?	0
142	2856	2856	2856	How does pregnancy affect serum cholesterol levels?	What to do with this patient, biopsy shows carcinoma in situ of the vulva?	0
143	6175	6175	6175	85-year-old man had left bundle branch block and had surgery and had a perioperative myocardial infarction.  So the question was what further evaluation is needed in a patient with left bundle branch block who is undergoing noncardiac surgery?	How should I treat polymenorrhea in a 14-year-old girl?	0
144	8327	8327	8327	What is the dose of propranolol?	What is the dose of propranolol?	1
145	5349	5349	5349	What is the topical antibiotic of choice for conjunctivitis?	Are there better patient education materials on natural family planning than what I have?	0
146	3837	3837	3837	How big does the left atrium have to be before cardioversion for atrial fibrillation is unlikely to be successful (this patient was 5 centimeters)?	What antibiotic should I use for this diabetic patient's infected foot ulcer?	0
147	1264	1264	1264	What should you do to workup this back pain?	What is the dose of Famvir?  I thought 500 milligrams three times a day but New England Journal of Medicine article says 750 milligrams.	0
148	8098	8098	8098	How does aspirin taken by the mother affect the baby?	How does aspirin taken by the mother affect the baby?	1
149	6413	6413	6413	"45-year-old woman, she's active but not on her feet all day, complaining of edema.  Pedal edema, mildly edematous, leg edema with no signs of venous insufficiency or other causes for edema.  ""What do you do with these people?"""	Patient with transient ischemic attacks; I'm always uncomfortable with how quickly to pursue a workup.	0
150	4579	4579	4579	What is pityriasis lichenoides?	What is pityriasis lichenoides?	1
151	2594	2594	2594	What are the comparative sensitivity and specificity of oxytocin contraction test and nonstress test?  If the oxytocin contraction test is more sensitive as Dr. X says, why do the nonstress test first and if nonreactive, do oxytocin contraction test?	What is in Ortho Novum 1/35?	0
152	1226	1226	1226	A painful knee.  Is it degenerative arthritis or might it be a stress fracture?	Painful knee. Is it degenerative arthritis or might it be a stress fracture?	1
153	5270	5270	5270	How do you diagnose cor pulmonale and how do you treat it?	How do you diagnose cor pulmonale and how do you treat it?	1
154	7373	7373	7373	Is gentian violet toxic when given for oral thrush?	Is gentian violet toxic when given for oral thrush?	1
155	3402	3402	3402	What are the indications for and dose for ticlopidine (Ticlid), Plavix (clopidogrel) and aspirin for prevention of transient ischemic attack and stroke?	How should I treat polymenorrhea in a 14-year-old girl?	0
156	7389	7389	7389	9-year-old boy with history of recurrent abdominal pain.  So I guess it's more of a diagnostic question.  Is the duodenitis causing the pain or the migraine?  If it is migraine, what other drug treatment, abortive or prophylactic, could we use?	Meniere's Disease worse on generic alprazolam. Is worsening due to generic form?	0
157	2625	2625	2625	Can hyperlipidemia cause thickening of the Achilles tendon?	Can hyperlipidemia cause thickening of the Achilles tendon?	1
158	4915	4915	4915	Can anemia cause a low pulse oximetry?	At what ages should you do a Denver Developmental Screening Test?	0
159	2869	2869	2869	What are likelihood ratios?	What are likelihood ratios?	1
160	8013	8013	8013	What should I know about neonatal sepsis?	Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?	0
161	1472	1472	1472	Hemoglobin approximately 4.0, white blood count 3000. History of dementia.  What's causing her bone marrow to be knocked out?  Is it related to her dementia?  Also occult blood in stool.  Should I put her through a gastrointestinal workup?	How do you inject the bicipital tendon?	0
162	5779	5779	5779	Yesterday I saw a 4 year-old girl with trichotillomania.  Mom said, can you use Benadryl?	How should I treat polymenorrhea in a 14-year-old girl?	0
163	4235	4235	4235	How do you treat a tachycardia with a wandering atrial pacemaker (multifocal atrial tachycardia)?	How do you treat multifocal atrial tachycardia?	1
164	1030	1030	1030	What is causing her abdominal pain?  Stress versus ulcer disease?	What is causing her abdominal pain?  Stress versus ulcer disease?	1
165	8355	8355	8355	How are the newer medications for attention-deficit hyperactivity disorder (ADHD) being used?	Why did she get Coccidiomycosis?	0
166	90	90	90	Doctor X thinks he is probably just a normal 18 month old but would like to know if there are a certain number of respiratory infections that are considered normal for that age.	Probably a normal 18 month old but how many respiratory infections are normal?	1
167	4874	4874	4874	Can stethoscopes act as fomites?  Can they transmit infection from one patient to another?	How should I treat polymenorrhea in a 14-year-old girl?	0
168	3013	3013	3013	Which is better, Biaxin (clarithromycin) or Zithromax (azithromycin)?	What is the cause and treatment of this old man's stomatitis?	0
169	1603	1603	1603	What is the optimum dose of penicillin for streptococcal sore throat in a 5-year-old boy?	Young man with recurrent peptic ulcer disease; do vagotomy?  Will health maintenance organization pay?	0
170	966	966	966	Should this 4-year-old have a computerized tomography (CT) or magnetic resonance imaging (MRI)?  Headaches since before Christmas (over 2 months).	Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?	0
171	4581	4581	4581	What is senile tremor?  Is it the same as benign familial tremor?	Let's give these immunizations.  That's right isn't it?	0
172	1339	1339	1339	How many times do the real doctors at the U just treat with antibiotics rather than getting a streptococcal test?	Why wasn't this patient very sick? (large empyema and Haemophilus influenza in sputum)	0
